"","date","eventId","selection","home","away","toverByPrice","turnover","APL"
"118","03/12/2016",4414396,"Crystal Palace","Crystal Palace","Southampton",1643.142,468.52,3.50709041236233
"119","03/12/2016",4414396,"Draw","Crystal Palace","Southampton",5161.365,1526.26,3.38170757275956
"120","03/12/2016",4414396,"Southampton","Crystal Palace","Southampton",6252.6118,2845.74,2.19718308770302
"121","03/12/2016",4414416,"Arsenal","West Ham","Arsenal",41754.75,25172.32,1.658756523038
"122","03/12/2016",4414416,"Draw","West Ham","Arsenal",30957.862,7404.5,4.18095239381457
"123","03/12/2016",4414416,"West Ham","West Ham","Arsenal",35914.9372,6687.06,5.37081126833018
"124","04/01/2017",4414062,"Chelsea","Tottenham","Chelsea",278409.53,99134.04,2.80841505097543
"125","04/01/2017",4414062,"Draw","Tottenham","Chelsea",113088.54,35008.04,3.23035908322774
"126","04/01/2017",4414062,"Tottenham","Tottenham","Chelsea",109826.0876,39401.76,2.78733964168098
"127","04/02/2017",4413912,"Draw","Hull","Liverpool",2926.4292,655.28,4.46592174337688
"128","04/02/2017",4413912,"Hull","Hull","Liverpool",28712.37,3997.7,7.18222227780974
"129","04/02/2017",4413912,"Liverpool","Hull","Liverpool",122813.6994,84672.7,1.45045214573292
"130","04/02/2017",4413930,"Arsenal","Chelsea","Arsenal",77648.0216,19130.8,4.05879637025111
"131","04/02/2017",4413930,"Chelsea","Chelsea","Arsenal",193118.7198,96437.5,2.00252723058976
"132","04/02/2017",4413930,"Draw","Chelsea","Arsenal",24099.605,7018.5,3.43372586735057
"133","04/02/2017",4414016,"Draw","West Brom","Stoke",7913.146,2443.1,3.23897752854979
"134","04/02/2017",4414016,"Stoke","West Brom","Stoke",1188.863,355.7,3.34231937025583
"135","04/02/2017",4414016,"West Brom","West Brom","Stoke",5668.2354,2386.1,2.37552298730145
"136","04/02/2017",4414106,"Crystal Palace","Crystal Palace","Sunderland",16257.8552,9338.56,1.74093813178906
"137","04/02/2017",4414106,"Draw","Crystal Palace","Sunderland",1875.644,483.2,3.88171357615894
